Time passed (ms): 1362324839530
1.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -84, frequency: 2422
2.SSID: halifax_wlan, BSSID: 00:18:e7:d3:27:3b, capabilities: [WPA2-EAP-CCMP][ESS], level: -88, frequency: 2412
3.SSID: eduroam, BSSID: 02:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -85, frequency: 2422
4.SSID: SV-Hoern.de, BSSID: a2:05:43:df:23:97, capabilities: [WPA2-PSK-CCMP][ESS], level: -91, frequency: 2437
5.SSID: eduroam, BSSID: 02:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -86, frequency: 2447
6.SSID: halifax_wlan, BSSID: 00:18:e7:da:a0:be, capabilities: [WPA2-EAP-CCMP][ESS], level: -94, frequency: 2412
7.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -85, frequency: 2447
8.SSID: Oecher WLAN Zugang 6582 (2116), BSSID: 00:1c:10:87:43:5d, capabilities: [ESS], level: -90, frequency: 2412
9.SSID: mops, BSSID: 00:0f:a3:1a:11:bd, capabilities: [ESS], level: -84, frequency: 2422
10.SSID: mops, BSSID: 00:0f:a3:1a:11:ce, capabilities: [ESS], level: -87, frequency: 2447
11.SSID: MINE, BSSID: 64:70:02:4f:9d:de, capabilities: [WPA2-PSK-CCMP][WPS][ESS], level: -93, frequency: 2462
Time passed (ms): 1362324839543
1.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -84, frequency: 2422
2.SSID: halifax_wlan, BSSID: 00:18:e7:d3:27:3b, capabilities: [WPA2-EAP-CCMP][ESS], level: -88, frequency: 2412
3.SSID: eduroam, BSSID: 02:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -85, frequency: 2422
4.SSID: SV-Hoern.de, BSSID: a2:05:43:df:23:97, capabilities: [WPA2-PSK-CCMP][ESS], level: -91, frequency: 2437
5.SSID: eduroam, BSSID: 02:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -86, frequency: 2447
6.SSID: halifax_wlan, BSSID: 00:18:e7:da:a0:be, capabilities: [WPA2-EAP-CCMP][ESS], level: -94, frequency: 2412
7.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -85, frequency: 2447
8.SSID: Oecher WLAN Zugang 6582 (2116), BSSID: 00:1c:10:87:43:5d, capabilities: [ESS], level: -90, frequency: 2412
9.SSID: mops, BSSID: 00:0f:a3:1a:11:bd, capabilities: [ESS], level: -84, frequency: 2422
10.SSID: mops, BSSID: 00:0f:a3:1a:11:ce, capabilities: [ESS], level: -87, frequency: 2447
11.SSID: MINE, BSSID: 64:70:02:4f:9d:de, capabilities: [WPA2-PSK-CCMP][WPS][ESS], level: -93, frequency: 2462
Time passed (ms): 1362324843143
1.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -87, frequency: 2422
2.SSID: halifax_wlan, BSSID: 00:18:e7:d3:27:3b, capabilities: [WPA2-EAP-CCMP][ESS], level: -93, frequency: 2412
3.SSID: eduroam, BSSID: 02:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -87, frequency: 2422
4.SSID: SV-Hoern.de, BSSID: a2:05:43:df:23:97, capabilities: [WPA2-PSK-CCMP][ESS], level: -95, frequency: 2437
5.SSID: eduroam, BSSID: 02:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -91, frequency: 2447
6.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -90, frequency: 2447
7.SSID: Oecher WLAN Zugang 6582 (2116), BSSID: 00:1c:10:87:43:5d, capabilities: [ESS], level: -95, frequency: 2412
8.SSID: mops, BSSID: 00:0f:a3:1a:11:bd, capabilities: [ESS], level: -87, frequency: 2422
9.SSID: mops, BSSID: 00:0f:a3:1a:11:ce, capabilities: [ESS], level: -91, frequency: 2447
10.SSID: MINE, BSSID: 64:70:02:4f:9d:de, capabilities: [WPA2-PSK-CCMP][WPS][ESS], level: -92, frequency: 2462
Time passed (ms): 1362324843149
1.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -87, frequency: 2422
2.SSID: halifax_wlan, BSSID: 00:18:e7:d3:27:3b, capabilities: [WPA2-EAP-CCMP][ESS], level: -93, frequency: 2412
3.SSID: eduroam, BSSID: 02:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -87, frequency: 2422
4.SSID: SV-Hoern.de, BSSID: a2:05:43:df:23:97, capabilities: [WPA2-PSK-CCMP][ESS], level: -95, frequency: 2437
5.SSID: eduroam, BSSID: 02:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -91, frequency: 2447
6.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -90, frequency: 2447
7.SSID: Oecher WLAN Zugang 6582 (2116), BSSID: 00:1c:10:87:43:5d, capabilities: [ESS], level: -95, frequency: 2412
8.SSID: mops, BSSID: 00:0f:a3:1a:11:bd, capabilities: [ESS], level: -87, frequency: 2422
9.SSID: mops, BSSID: 00:0f:a3:1a:11:ce, capabilities: [ESS], level: -91, frequency: 2447
10.SSID: MINE, BSSID: 64:70:02:4f:9d:de, capabilities: [WPA2-PSK-CCMP][WPS][ESS], level: -92, frequency: 2462
Time passed (ms): 1362324846767
1.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -88, frequency: 2422
2.SSID: halifax_wlan, BSSID: 00:18:e7:d3:27:3b, capabilities: [WPA2-EAP-CCMP][ESS], level: -93, frequency: 2412
3.SSID: eduroam, BSSID: 02:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -87, frequency: 2422
4.SSID: SV-Hoern.de, BSSID: a2:05:43:df:23:97, capabilities: [WPA2-PSK-CCMP][ESS], level: -98, frequency: 2437
5.SSID: eduroam, BSSID: 02:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -93, frequency: 2447
6.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -94, frequency: 2447
7.SSID: Oecher WLAN Zugang 6582 (2116), BSSID: 00:1c:10:87:43:5d, capabilities: [ESS], level: -91, frequency: 2412
8.SSID: mops, BSSID: 00:0f:a3:1a:11:bd, capabilities: [ESS], level: -87, frequency: 2422
9.SSID: mops, BSSID: 00:0f:a3:1a:11:ce, capabilities: [ESS], level: -93, frequency: 2447
10.SSID: MINE, BSSID: 64:70:02:4f:9d:de, capabilities: [WPA2-PSK-CCMP][WPS][ESS], level: -97, frequency: 2462
11.SSID: Sokrates-IQON, BSSID: 00:3a:9a:21:00:60, capabilities: [WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS], level: -98, frequency: 2462
Time passed (ms): 1362324846780
1.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -88, frequency: 2422
2.SSID: halifax_wlan, BSSID: 00:18:e7:d3:27:3b, capabilities: [WPA2-EAP-CCMP][ESS], level: -93, frequency: 2412
3.SSID: eduroam, BSSID: 02:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -87, frequency: 2422
4.SSID: SV-Hoern.de, BSSID: a2:05:43:df:23:97, capabilities: [WPA2-PSK-CCMP][ESS], level: -98, frequency: 2437
5.SSID: eduroam, BSSID: 02:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -93, frequency: 2447
6.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -94, frequency: 2447
7.SSID: Oecher WLAN Zugang 6582 (2116), BSSID: 00:1c:10:87:43:5d, capabilities: [ESS], level: -91, frequency: 2412
8.SSID: mops, BSSID: 00:0f:a3:1a:11:bd, capabilities: [ESS], level: -87, frequency: 2422
9.SSID: mops, BSSID: 00:0f:a3:1a:11:ce, capabilities: [ESS], level: -93, frequency: 2447
10.SSID: MINE, BSSID: 64:70:02:4f:9d:de, capabilities: [WPA2-PSK-CCMP][WPS][ESS], level: -97, frequency: 2462
11.SSID: Sokrates-IQON, BSSID: 00:3a:9a:21:00:60, capabilities: [WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS], level: -98, frequency: 2462
Time passed (ms): 1362324850382
1.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -84, frequency: 2422
2.SSID: halifax_wlan, BSSID: 00:18:e7:d3:27:3b, capabilities: [WPA2-EAP-CCMP][ESS], level: -87, frequency: 2412
3.SSID: eduroam, BSSID: 02:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -83, frequency: 2422
4.SSID: SV-Hoern.de, BSSID: a2:05:43:df:23:97, capabilities: [WPA2-PSK-CCMP][ESS], level: -95, frequency: 2437
5.SSID: eduroam, BSSID: 02:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -94, frequency: 2447
6.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -95, frequency: 2447
7.SSID: Oecher WLAN Zugang 6582 (2116), BSSID: 00:1c:10:87:43:5d, capabilities: [ESS], level: -93, frequency: 2412
8.SSID: mops, BSSID: 00:0f:a3:1a:11:bd, capabilities: [ESS], level: -84, frequency: 2422
9.SSID: mops, BSSID: 00:0f:a3:1a:11:ce, capabilities: [ESS], level: -95, frequency: 2447
10.SSID: MINE, BSSID: 64:70:02:4f:9d:de, capabilities: [WPA2-PSK-CCMP][WPS][ESS], level: -95, frequency: 2462
11.SSID: Sokrates-IQON, BSSID: 00:3a:9a:21:00:60, capabilities: [WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS], level: -98, frequency: 2462
12.SSID: eduroam, BSSID: 00:17:df:a7:f5:bd, capabilities: [WPA2-EAP-CCMP][ESS], level: -90, frequency: 5280
13.SSID: halifax_wlan, BSSID: 00:18:e7:fb:b4:8d, capabilities: [WPA2-EAP-CCMP][ESS], level: -98, frequency: 2437
14.SSID: mops, BSSID: 00:17:df:a7:f5:be, capabilities: [ESS], level: -93, frequency: 5280
Time passed (ms): 1362324850391
1.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -84, frequency: 2422
2.SSID: halifax_wlan, BSSID: 00:18:e7:d3:27:3b, capabilities: [WPA2-EAP-CCMP][ESS], level: -87, frequency: 2412
3.SSID: eduroam, BSSID: 02:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -83, frequency: 2422
4.SSID: SV-Hoern.de, BSSID: a2:05:43:df:23:97, capabilities: [WPA2-PSK-CCMP][ESS], level: -95, frequency: 2437
5.SSID: eduroam, BSSID: 02:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -94, frequency: 2447
6.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -95, frequency: 2447
7.SSID: Oecher WLAN Zugang 6582 (2116), BSSID: 00:1c:10:87:43:5d, capabilities: [ESS], level: -93, frequency: 2412
8.SSID: mops, BSSID: 00:0f:a3:1a:11:bd, capabilities: [ESS], level: -84, frequency: 2422
9.SSID: mops, BSSID: 00:0f:a3:1a:11:ce, capabilities: [ESS], level: -95, frequency: 2447
10.SSID: MINE, BSSID: 64:70:02:4f:9d:de, capabilities: [WPA2-PSK-CCMP][WPS][ESS], level: -95, frequency: 2462
11.SSID: Sokrates-IQON, BSSID: 00:3a:9a:21:00:60, capabilities: [WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS], level: -98, frequency: 2462
12.SSID: eduroam, BSSID: 00:17:df:a7:f5:bd, capabilities: [WPA2-EAP-CCMP][ESS], level: -90, frequency: 5280
13.SSID: halifax_wlan, BSSID: 00:18:e7:fb:b4:8d, capabilities: [WPA2-EAP-CCMP][ESS], level: -98, frequency: 2437
14.SSID: mops, BSSID: 00:17:df:a7:f5:be, capabilities: [ESS], level: -93, frequency: 5280
Time passed (ms): 1362324853976
1.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -85, frequency: 2422
2.SSID: halifax_wlan, BSSID: 00:18:e7:d3:27:3b, capabilities: [WPA2-EAP-CCMP][ESS], level: -87, frequency: 2412
3.SSID: eduroam, BSSID: 02:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -84, frequency: 2422
4.SSID: SV-Hoern.de, BSSID: a2:05:43:df:23:97, capabilities: [WPA2-PSK-CCMP][ESS], level: -95, frequency: 2437
5.SSID: eduroam, BSSID: 02:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -94, frequency: 2447
6.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -94, frequency: 2447
7.SSID: Oecher WLAN Zugang 6582 (2116), BSSID: 00:1c:10:87:43:5d, capabilities: [ESS], level: -92, frequency: 2412
8.SSID: mops, BSSID: 00:0f:a3:1a:11:bd, capabilities: [ESS], level: -85, frequency: 2422
9.SSID: mops, BSSID: 00:0f:a3:1a:11:ce, capabilities: [ESS], level: -92, frequency: 2447
10.SSID: MINE, BSSID: 64:70:02:4f:9d:de, capabilities: [WPA2-PSK-CCMP][WPS][ESS], level: -95, frequency: 2462
11.SSID: eduroam, BSSID: 00:17:df:a7:f5:bd, capabilities: [WPA2-EAP-CCMP][ESS], level: -88, frequency: 5280
12.SSID: halifax_wlan, BSSID: 00:18:e7:fb:b4:8d, capabilities: [WPA2-EAP-CCMP][ESS], level: -98, frequency: 2437
13.SSID: mops, BSSID: 00:17:df:a7:f5:be, capabilities: [ESS], level: -84, frequency: 5280
14.SSID: WLAN-789311, BSSID: 00:1a:2a:78:93:3d, capabilities: [WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][ESS], level: -99, frequency: 2437
15.SSID: mops, BSSID: 00:17:df:a7:f4:9e, capabilities: [ESS], level: -90, frequency: 5240
16.SSID: Oecher WLAN Zugang 2116, BSSID: 00:1c:10:13:b7:04, capabilities: [ESS], level: -91, frequency: 2412
Time passed (ms): 1362324853983
1.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -85, frequency: 2422
2.SSID: halifax_wlan, BSSID: 00:18:e7:d3:27:3b, capabilities: [WPA2-EAP-CCMP][ESS], level: -87, frequency: 2412
3.SSID: eduroam, BSSID: 02:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -84, frequency: 2422
4.SSID: SV-Hoern.de, BSSID: a2:05:43:df:23:97, capabilities: [WPA2-PSK-CCMP][ESS], level: -95, frequency: 2437
5.SSID: eduroam, BSSID: 02:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -94, frequency: 2447
6.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -94, frequency: 2447
7.SSID: Oecher WLAN Zugang 6582 (2116), BSSID: 00:1c:10:87:43:5d, capabilities: [ESS], level: -92, frequency: 2412
8.SSID: mops, BSSID: 00:0f:a3:1a:11:bd, capabilities: [ESS], level: -85, frequency: 2422
9.SSID: mops, BSSID: 00:0f:a3:1a:11:ce, capabilities: [ESS], level: -92, frequency: 2447
10.SSID: MINE, BSSID: 64:70:02:4f:9d:de, capabilities: [WPA2-PSK-CCMP][WPS][ESS], level: -95, frequency: 2462
11.SSID: eduroam, BSSID: 00:17:df:a7:f5:bd, capabilities: [WPA2-EAP-CCMP][ESS], level: -88, frequency: 5280
12.SSID: halifax_wlan, BSSID: 00:18:e7:fb:b4:8d, capabilities: [WPA2-EAP-CCMP][ESS], level: -98, frequency: 2437
13.SSID: mops, BSSID: 00:17:df:a7:f5:be, capabilities: [ESS], level: -84, frequency: 5280
14.SSID: WLAN-789311, BSSID: 00:1a:2a:78:93:3d, capabilities: [WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][ESS], level: -99, frequency: 2437
15.SSID: mops, BSSID: 00:17:df:a7:f4:9e, capabilities: [ESS], level: -90, frequency: 5240
16.SSID: Oecher WLAN Zugang 2116, BSSID: 00:1c:10:13:b7:04, capabilities: [ESS], level: -91, frequency: 2412
Time passed (ms): 1362324857584
1.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -88, frequency: 2422
2.SSID: eduroam, BSSID: 02:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -87, frequency: 2422
3.SSID: SV-Hoern.de, BSSID: a2:05:43:df:23:97, capabilities: [WPA2-PSK-CCMP][ESS], level: -98, frequency: 2437
4.SSID: eduroam, BSSID: 02:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -94, frequency: 2447
5.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -93, frequency: 2447
6.SSID: Oecher WLAN Zugang 6582 (2116), BSSID: 00:1c:10:87:43:5d, capabilities: [ESS], level: -93, frequency: 2412
7.SSID: mops, BSSID: 00:0f:a3:1a:11:bd, capabilities: [ESS], level: -87, frequency: 2422
8.SSID: mops, BSSID: 00:0f:a3:1a:11:ce, capabilities: [ESS], level: -94, frequency: 2447
9.SSID: eduroam, BSSID: 00:17:df:a7:f5:bd, capabilities: [WPA2-EAP-CCMP][ESS], level: -92, frequency: 5280
10.SSID: mops, BSSID: 00:17:df:a7:f5:be, capabilities: [ESS], level: -89, frequency: 5280
11.SSID: WLAN-789311, BSSID: 00:1a:2a:78:93:3d, capabilities: [WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][ESS], level: -99, frequency: 2437
12.SSID: mops, BSSID: 00:17:df:a7:f4:9e, capabilities: [ESS], level: -89, frequency: 5240
13.SSID: Oecher WLAN Zugang 2116, BSSID: 00:1c:10:13:b7:04, capabilities: [ESS], level: -91, frequency: 2412
14.SSID: mops, BSSID: 00:17:df:a7:f5:b1, capabilities: [ESS], level: -87, frequency: 2412
Time passed (ms): 1362324857591
1.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -88, frequency: 2422
2.SSID: eduroam, BSSID: 02:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -87, frequency: 2422
3.SSID: SV-Hoern.de, BSSID: a2:05:43:df:23:97, capabilities: [WPA2-PSK-CCMP][ESS], level: -98, frequency: 2437
4.SSID: eduroam, BSSID: 02:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -94, frequency: 2447
5.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -93, frequency: 2447
6.SSID: Oecher WLAN Zugang 6582 (2116), BSSID: 00:1c:10:87:43:5d, capabilities: [ESS], level: -93, frequency: 2412
7.SSID: mops, BSSID: 00:0f:a3:1a:11:bd, capabilities: [ESS], level: -87, frequency: 2422
8.SSID: mops, BSSID: 00:0f:a3:1a:11:ce, capabilities: [ESS], level: -94, frequency: 2447
9.SSID: eduroam, BSSID: 00:17:df:a7:f5:bd, capabilities: [WPA2-EAP-CCMP][ESS], level: -92, frequency: 5280
10.SSID: mops, BSSID: 00:17:df:a7:f5:be, capabilities: [ESS], level: -89, frequency: 5280
11.SSID: WLAN-789311, BSSID: 00:1a:2a:78:93:3d, capabilities: [WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][ESS], level: -99, frequency: 2437
12.SSID: mops, BSSID: 00:17:df:a7:f4:9e, capabilities: [ESS], level: -89, frequency: 5240
13.SSID: Oecher WLAN Zugang 2116, BSSID: 00:1c:10:13:b7:04, capabilities: [ESS], level: -91, frequency: 2412
14.SSID: mops, BSSID: 00:17:df:a7:f5:b1, capabilities: [ESS], level: -87, frequency: 2412
Time passed (ms): 1362324861142
1.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -86, frequency: 2422
2.SSID: eduroam, BSSID: 02:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -88, frequency: 2422
3.SSID: SV-Hoern.de, BSSID: a2:05:43:df:23:97, capabilities: [WPA2-PSK-CCMP][ESS], level: -93, frequency: 2437
4.SSID: eduroam, BSSID: 02:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -93, frequency: 2447
5.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -92, frequency: 2447
6.SSID: Oecher WLAN Zugang 6582 (2116), BSSID: 00:1c:10:87:43:5d, capabilities: [ESS], level: -91, frequency: 2412
7.SSID: mops, BSSID: 00:0f:a3:1a:11:bd, capabilities: [ESS], level: -87, frequency: 2422
8.SSID: mops, BSSID: 00:0f:a3:1a:11:ce, capabilities: [ESS], level: -94, frequency: 2447
9.SSID: eduroam, BSSID: 00:17:df:a7:f5:bd, capabilities: [WPA2-EAP-CCMP][ESS], level: -91, frequency: 5280
10.SSID: mops, BSSID: 00:17:df:a7:f5:be, capabilities: [ESS], level: -90, frequency: 5280
11.SSID: mops, BSSID: 00:17:df:a7:f4:9e, capabilities: [ESS], level: -89, frequency: 5240
12.SSID: mops, BSSID: 00:17:df:a7:f5:b1, capabilities: [ESS], level: -87, frequency: 2412
13.SSID: mops, BSSID: 00:17:df:a7:f4:91, capabilities: [ESS], level: -93, frequency: 2437
Time passed (ms): 1362324861150
1.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -86, frequency: 2422
2.SSID: eduroam, BSSID: 02:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -88, frequency: 2422
3.SSID: SV-Hoern.de, BSSID: a2:05:43:df:23:97, capabilities: [WPA2-PSK-CCMP][ESS], level: -93, frequency: 2437
4.SSID: eduroam, BSSID: 02:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -93, frequency: 2447
5.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -92, frequency: 2447
6.SSID: Oecher WLAN Zugang 6582 (2116), BSSID: 00:1c:10:87:43:5d, capabilities: [ESS], level: -91, frequency: 2412
7.SSID: mops, BSSID: 00:0f:a3:1a:11:bd, capabilities: [ESS], level: -87, frequency: 2422
8.SSID: mops, BSSID: 00:0f:a3:1a:11:ce, capabilities: [ESS], level: -94, frequency: 2447
9.SSID: eduroam, BSSID: 00:17:df:a7:f5:bd, capabilities: [WPA2-EAP-CCMP][ESS], level: -91, frequency: 5280
10.SSID: mops, BSSID: 00:17:df:a7:f5:be, capabilities: [ESS], level: -90, frequency: 5280
11.SSID: mops, BSSID: 00:17:df:a7:f4:9e, capabilities: [ESS], level: -89, frequency: 5240
12.SSID: mops, BSSID: 00:17:df:a7:f5:b1, capabilities: [ESS], level: -87, frequency: 2412
13.SSID: mops, BSSID: 00:17:df:a7:f4:91, capabilities: [ESS], level: -93, frequency: 2437
Time passed (ms): 1362324864714
1.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -86, frequency: 2422
2.SSID: eduroam, BSSID: 02:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -88, frequency: 2422
3.SSID: SV-Hoern.de, BSSID: a2:05:43:df:23:97, capabilities: [WPA2-PSK-CCMP][ESS], level: -95, frequency: 2437
4.SSID: eduroam, BSSID: 02:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -97, frequency: 2447
5.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -95, frequency: 2447
6.SSID: Oecher WLAN Zugang 6582 (2116), BSSID: 00:1c:10:87:43:5d, capabilities: [ESS], level: -91, frequency: 2412
7.SSID: mops, BSSID: 00:0f:a3:1a:11:bd, capabilities: [ESS], level: -87, frequency: 2422
8.SSID: mops, BSSID: 00:0f:a3:1a:11:ce, capabilities: [ESS], level: -97, frequency: 2447
9.SSID: eduroam, BSSID: 00:17:df:a7:f5:bd, capabilities: [WPA2-EAP-CCMP][ESS], level: -91, frequency: 5280
10.SSID: mops, BSSID: 00:17:df:a7:f5:be, capabilities: [ESS], level: -90, frequency: 5280
11.SSID: mops, BSSID: 00:17:df:a7:f4:9e, capabilities: [ESS], level: -77, frequency: 5240
