Time passed (ms): 1362325268629
1.SSID: eduroam, BSSID: 02:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -87, frequency: 2422
2.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -88, frequency: 2422
3.SSID: SV-Hoern.de, BSSID: a2:05:43:df:23:97, capabilities: [WPA2-PSK-CCMP][ESS], level: -84, frequency: 2437
4.SSID: EasyBox-C97D38, BSSID: 74:31:70:c9:7d:a8, capabilities: [WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP-preauth][WPS][ESS], level: -92, frequency: 2417
5.SSID: eduroam, BSSID: 02:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -92, frequency: 2447
6.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -91, frequency: 2447
7.SSID: mops, BSSID: 00:0f:a3:1a:11:bd, capabilities: [ESS], level: -85, frequency: 2422
8.SSID: Oecher WLAN Zugang 6582 (2116), BSSID: 00:1c:10:87:43:5d, capabilities: [ESS], level: -91, frequency: 2412
9.SSID: mops, BSSID: 00:0f:a3:1a:11:ce, capabilities: [ESS], level: -91, frequency: 2447
10.SSID: MINE, BSSID: 64:70:02:4f:9d:de, capabilities: [WPA2-PSK-CCMP][WPS][ESS], level: -91, frequency: 2462
11.SSID: Oecher WLAN Zugang 2116, BSSID: 00:1c:10:13:b7:04, capabilities: [ESS], level: -94, frequency: 2412
12.SSID: halifax_wlan, BSSID: 00:18:e7:d3:27:3b, capabilities: [WPA2-EAP-CCMP][ESS], level: -90, frequency: 2412
13.SSID: halifax_wlan, BSSID: 00:18:e7:da:a0:be, capabilities: [WPA2-EAP-CCMP][ESS], level: -90, frequency: 2412
14.SSID: WLAN-789311, BSSID: 00:1a:2a:78:93:3d, capabilities: [WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][ESS], level: -92, frequency: 2437
Time passed (ms): 1362325268647
1.SSID: eduroam, BSSID: 02:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -87, frequency: 2422
2.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -88, frequency: 2422
3.SSID: SV-Hoern.de, BSSID: a2:05:43:df:23:97, capabilities: [WPA2-PSK-CCMP][ESS], level: -84, frequency: 2437
4.SSID: EasyBox-C97D38, BSSID: 74:31:70:c9:7d:a8, capabilities: [WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP-preauth][WPS][ESS], level: -92, frequency: 2417
5.SSID: eduroam, BSSID: 02:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -92, frequency: 2447
