Time passed (ms): 1362326736542
1.SSID: Cocoaheads, BSSID: 00:1c:b3:ae:a2:3c, capabilities: [WPA-PSK-TKIP][WPA2-PSK-TKIP+CCMP][ESS], level: -85, frequency: 2412
2.SSID: halifax_wlan, BSSID: 00:18:e7:d4:38:7e, capabilities: [WPA2-EAP-CCMP][ESS], level: -73, frequency: 2437
3.SSID: halifax_wlan, BSSID: 00:18:e7:d4:36:ef, capabilities: [WPA2-EAP-CCMP][ESS], level: -88, frequency: 2462
4.SSID: halifax_wlan, BSSID: 54:e6:fc:d5:2b:40, capabilities: [WPA2-EAP-CCMP][ESS], level: -91, frequency: 2412
5.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:ac, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -92, frequency: 2457
6.SSID: mops, BSSID: 00:0f:a3:1a:11:ac, capabilities: [ESS], level: -88, frequency: 2457
7.SSID: halifax_wlan, BSSID: 00:18:e7:d4:38:7f, capabilities: [WPA2-EAP-CCMP][ESS], level: -91, frequency: 5200
8.SSID: halifax_wlan, BSSID: 00:18:e7:fb:b4:8d, capabilities: [WPA2-EAP-CCMP][ESS], level: -88, frequency: 2437
9.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -88, frequency: 2422
10.SSID: eduroam, BSSID: 02:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -92, frequency: 2422
11.SSID: eduroam, BSSID: 02:0f:a3:1a:11:ac, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -86, frequency: 2457
12.SSID: halifax_wlan, BSSID: b8:a3:86:4c:c3:ac, capabilities: [WPA2-EAP-CCMP][ESS], level: -92, frequency: 5240
13.SSID: mops, BSSID: 00:0f:a3:1a:11:bd, capabilities: [ESS], level: -91, frequency: 2422
Time passed (ms): 1362326736557
1.SSID: Cocoaheads, BSSID: 00:1c:b3:ae:a2:3c, capabilities: [WPA-PSK-TKIP][WPA2-PSK-TKIP+CCMP][ESS], level: -85, frequency: 2412
2.SSID: halifax_wlan, BSSID: 00:18:e7:d4:38:7e, capabilities: [WPA2-EAP-CCMP][ESS], level: -73, frequency: 2437
3.SSID: halifax_wlan, BSSID: 00:18:e7:d4:36:ef, capabilities: [WPA2-EAP-CCMP][ESS], level: -88, frequency: 2462
4.SSID: halifax_wlan, BSSID: 54:e6:fc:d5:2b:40, capabilities: [WPA2-EAP-CCMP][ESS], level: -91, frequency: 2412
5.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:ac, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -92, frequency: 2457
6.SSID: mops, BSSID: 00:0f:a3:1a:11:ac, capabilities: [ESS], level: -88, frequency: 2457
7.SSID: halifax_wlan, BSSID: 00:18:e7:d4:38:7f, capabilities: [WPA2-EAP-CCMP][ESS], level: -91, frequency: 5200
8.SSID: halifax_wlan, BSSID: 00:18:e7:fb:b4:8d, capabilities: [WPA2-EAP-CCMP][ESS], level: -88, frequency: 2437
9.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -88, frequency: 2422
10.SSID: eduroam, BSSID: 02:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -92, frequency: 2422
11.SSID: eduroam, BSSID: 02:0f:a3:1a:11:ac, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -86, frequency: 2457
12.SSID: halifax_wlan, BSSID: b8:a3:86:4c:c3:ac, capabilities: [WPA2-EAP-CCMP][ESS], level: -92, frequency: 5240
13.SSID: mops, BSSID: 00:0f:a3:1a:11:bd, capabilities: [ESS], level: -91, frequency: 2422
Time passed (ms): 1362326740187
1.SSID: Cocoaheads, BSSID: 00:1c:b3:ae:a2:3c, capabilities: [WPA-PSK-TKIP][WPA2-PSK-TKIP+CCMP][ESS], level: -88, frequency: 2412
2.SSID: halifax_wlan, BSSID: 00:18:e7:d4:38:7e, capabilities: [WPA2-EAP-CCMP][ESS], level: -81, frequency: 2437
3.SSID: halifax_wlan, BSSID: 54:e6:fc:d5:2b:40, capabilities: [WPA2-EAP-CCMP][ESS], level: -90, frequency: 2412
4.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:ac, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -88, frequency: 2457
5.SSID: mops, BSSID: 00:0f:a3:1a:11:ac, capabilities: [ESS], level: -95, frequency: 2457
6.SSID: halifax_wlan, BSSID: 00:18:e7:d4:38:7f, capabilities: [WPA2-EAP-CCMP][ESS], level: -89, frequency: 5200
7.SSID: halifax_wlan, BSSID: 00:18:e7:fb:b4:8d, capabilities: [WPA2-EAP-CCMP][ESS], level: -93, frequency: 2437
8.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -93, frequency: 2422
9.SSID: eduroam, BSSID: 02:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -92, frequency: 2422
10.SSID: eduroam, BSSID: 02:0f:a3:1a:11:ac, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -90, frequency: 2457
11.SSID: halifax_wlan, BSSID: b8:a3:86:4c:c3:ac, capabilities: [WPA2-EAP-CCMP][ESS], level: -92, frequency: 5240
12.SSID: mops, BSSID: 00:0f:a3:1a:11:bd, capabilities: [ESS], level: -94, frequency: 2422
13.SSID: MINE, BSSID: 64:70:02:4f:9d:de, capabilities: [WPA2-PSK-CCMP][WPS][ESS], level: -94, frequency: 2462
14.SSID: i10, BSSID: 00:1b:63:23:10:e1, capabilities: [WPA2-PSK-CCMP][ESS], level: -94, frequency: 2437
15.SSID: halifax_wlan, BSSID: 00:18:e7:d4:36:9b, capabilities: [WPA2-EAP-CCMP][ESS], level: -95, frequency: 2462
16.SSID: halifax_wlan, BSSID: b8:a3:86:4c:c3:ab, capabilities: [WPA2-EAP-CCMP][ESS], level: -97, frequency: 2462
17.SSID: halifax_wlan, BSSID: b8:a3:86:4c:c5:2e, capabilities: [WPA2-EAP-CCMP][ESS], level: -100, frequency: 2462
18.SSID: WLAN_Heim, BSSID: 00:03:c9:fb:a6:b1, capabilities: [WEP][ESS], level: -91, frequency: 2432
19.SSID: Oecher WLAN Zugang 1295, BSSID: 00:11:6b:64:5f:9d, capabilities: [ESS], level: -95, frequency: 2437
Time passed (ms): 1362326740208
1.SSID: Cocoaheads, BSSID: 00:1c:b3:ae:a2:3c, capabilities: [WPA-PSK-TKIP][WPA2-PSK-TKIP+CCMP][ESS], level: -88, frequency: 2412
2.SSID: halifax_wlan, BSSID: 00:18:e7:d4:38:7e, capabilities: [WPA2-EAP-CCMP][ESS], level: -81, frequency: 2437
3.SSID: halifax_wlan, BSSID: 54:e6:fc:d5:2b:40, capabilities: [WPA2-EAP-CCMP][ESS], level: -90, frequency: 2412
4.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:ac, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -88, frequency: 2457
5.SSID: mops, BSSID: 00:0f:a3:1a:11:ac, capabilities: [ESS], level: -95, frequency: 2457
6.SSID: halifax_wlan, BSSID: 00:18:e7:d4:38:7f, capabilities: [WPA2-EAP-CCMP][ESS], level: -89, frequency: 5200
7.SSID: halifax_wlan, BSSID: 00:18:e7:fb:b4:8d, capabilities: [WPA2-EAP-CCMP][ESS], level: -93, frequency: 2437
8.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -93, frequency: 2422
9.SSID: eduroam, BSSID: 02:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -92, frequency: 2422
