Time passed (ms): 1362828829300
1.SSID: eduroam, BSSID: 02:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -92, frequency: 2432
2.SSID: SV-Hoern.de, BSSID: a2:05:43:df:23:97, capabilities: [WPA2-PSK-CCMP][ESS], level: -87, frequency: 2437
3.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -79, frequency: 2422
4.SSID: eduroam, BSSID: 02:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -78, frequency: 2422
5.SSID: mops, BSSID: 00:0f:a3:1a:11:ce, capabilities: [ESS], level: -80, frequency: 2422
6.SSID: Sokrates-IQON, BSSID: 00:3a:9a:21:00:60, capabilities: [WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS], level: -91, frequency: 2412
Time passed (ms): 1362828829313
1.SSID: eduroam, BSSID: 02:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -92, frequency: 2432
2.SSID: SV-Hoern.de, BSSID: a2:05:43:df:23:97, capabilities: [WPA2-PSK-CCMP][ESS], level: -87, frequency: 2437
3.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -79, frequency: 2422
4.SSID: eduroam, BSSID: 02:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -78, frequency: 2422
5.SSID: mops, BSSID: 00:0f:a3:1a:11:ce, capabilities: [ESS], level: -80, frequency: 2422
6.SSID: Sokrates-IQON, BSSID: 00:3a:9a:21:00:60, capabilities: [WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS], level: -91, frequency: 2412
Time passed (ms): 1362828832765
1.SSID: mops, BSSID: 00:0f:a3:1a:11:bd, capabilities: [ESS], level: -88, frequency: 2432
Time passed (ms): 1362828832775
1.SSID: mops, BSSID: 00:0f:a3:1a:11:bd, capabilities: [ESS], level: -88, frequency: 2432
Time passed (ms): 1362828836219
1.SSID: mops, BSSID: 00:0f:a3:1a:11:ce, capabilities: [ESS], level: -90, frequency: 2422
Time passed (ms): 1362828836221
1.SSID: mops, BSSID: 00:0f:a3:1a:11:ce, capabilities: [ESS], level: -90, frequency: 2422
Time passed (ms): 1362828839752
1.SSID: mops, BSSID: 00:0f:a3:1a:11:ce, capabilities: [ESS], level: -92, frequency: 2422
2.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -78, frequency: 5240
3.SSID: eduroam, BSSID: 02:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -91, frequency: 2422
4.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -94, frequency: 2432
