Time passed (ms): 1363695469426
1.SSID: eduroam, BSSID: 02:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -90, frequency: 2432
2.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -92, frequency: 2432
3.SSID: mops, BSSID: 00:0f:a3:1a:11:bd, capabilities: [ESS], level: -92, frequency: 2432
4.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -92, frequency: 2417
5.SSID: MINE, BSSID: 64:70:02:4f:9d:de, capabilities: [WPA2-PSK-CCMP][WPS][ESS], level: -95, frequency: 2462
6.SSID: mops, BSSID: 00:0f:a3:1a:11:ce, capabilities: [ESS], level: -92, frequency: 2417
7.SSID: eduroam, BSSID: 00:17:df:a7:f5:b2, capabilities: [WPA2-EAP-CCMP][ESS], level: -88, frequency: 2462
Time passed (ms): 1363695469439
1.SSID: eduroam, BSSID: 02:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -90, frequency: 2432
2.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -92, frequency: 2432
3.SSID: mops, BSSID: 00:0f:a3:1a:11:bd, capabilities: [ESS], level: -92, frequency: 2432
4.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -92, frequency: 2417
5.SSID: MINE, BSSID: 64:70:02:4f:9d:de, capabilities: [WPA2-PSK-CCMP][WPS][ESS], level: -95, frequency: 2462
6.SSID: mops, BSSID: 00:0f:a3:1a:11:ce, capabilities: [ESS], level: -92, frequency: 2417
7.SSID: eduroam, BSSID: 00:17:df:a7:f5:b2, capabilities: [WPA2-EAP-CCMP][ESS], level: -88, frequency: 2462
Time passed (ms): 1363695472907
1.SSID: eduroam, BSSID: 02:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -92, frequency: 2432
2.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -92, frequency: 2432
3.SSID: mops, BSSID: 00:0f:a3:1a:11:bd, capabilities: [ESS], level: -92, frequency: 2432
4.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -86, frequency: 2417
5.SSID: mops, BSSID: 00:0f:a3:1a:11:ce, capabilities: [ESS], level: -88, frequency: 2417
6.SSID: eduroam, BSSID: 00:17:df:a7:f5:b2, capabilities: [WPA2-EAP-CCMP][ESS], level: -88, frequency: 2462
7.SSID: eduroam, BSSID: 02:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -87, frequency: 2417
Time passed (ms): 1363695472921
1.SSID: eduroam, BSSID: 02:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -92, frequency: 2432
2.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -92, frequency: 2432
3.SSID: mops, BSSID: 00:0f:a3:1a:11:bd, capabilities: [ESS], level: -92, frequency: 2432
4.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -86, frequency: 2417
5.SSID: mops, BSSID: 00:0f:a3:1a:11:ce, capabilities: [ESS], level: -88, frequency: 2417
6.SSID: eduroam, BSSID: 00:17:df:a7:f5:b2, capabilities: [WPA2-EAP-CCMP][ESS], level: -88, frequency: 2462
7.SSID: eduroam, BSSID: 02:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -87, frequency: 2417
Time passed (ms): 1363695476390
1.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -91, frequency: 2417
2.SSID: mops, BSSID: 00:0f:a3:1a:11:ce, capabilities: [ESS], level: -93, frequency: 2417
3.SSID: mops, BSSID: 00:17:df:a7:f4:90, capabilities: [ESS], level: -82, frequency: 2437
4.SSID: mops, BSSID: 00:17:df:a7:f4:9f, capabilities: [ESS], level: -88, frequency: 5260
Time passed (ms): 1363695476404
1.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -91, frequency: 2417
2.SSID: mops, BSSID: 00:0f:a3:1a:11:ce, capabilities: [ESS], level: -93, frequency: 2417
3.SSID: mops, BSSID: 00:17:df:a7:f4:90, capabilities: [ESS], level: -82, frequency: 2437
4.SSID: mops, BSSID: 00:17:df:a7:f4:9f, capabilities: [ESS], level: -88, frequency: 5260
Time passed (ms): 1363695479868
1.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -91, frequency: 2417
2.SSID: mops, BSSID: 00:0f:a3:1a:11:ce, capabilities: [ESS], level: -91, frequency: 2417
3.SSID: mops, BSSID: 00:17:df:a7:f4:90, capabilities: [ESS], level: -75, frequency: 2437
4.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -74, frequency: 2437
5.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -91, frequency: 5260
6.SSID: eduroam, BSSID: 02:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -92, frequency: 2417
7.SSID: mops, BSSID: 00:17:df:a7:f5:b0, capabilities: [ESS], level: -78, frequency: 2462
Time passed (ms): 1363695479873
1.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -91, frequency: 2417
2.SSID: mops, BSSID: 00:0f:a3:1a:11:ce, capabilities: [ESS], level: -91, frequency: 2417
3.SSID: mops, BSSID: 00:17:df:a7:f4:90, capabilities: [ESS], level: -75, frequency: 2437
4.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -74, frequency: 2437
5.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -91, frequency: 5260
6.SSID: eduroam, BSSID: 02:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -92, frequency: 2417
7.SSID: mops, BSSID: 00:17:df:a7:f5:b0, capabilities: [ESS], level: -78, frequency: 2462
Time passed (ms): 1363695483332
1.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -91, frequency: 2417
2.SSID: mops, BSSID: 00:0f:a3:1a:11:ce, capabilities: [ESS], level: -90, frequency: 2417
3.SSID: mops, BSSID: 00:17:df:a7:f4:90, capabilities: [ESS], level: -71, frequency: 2437
4.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -73, frequency: 2437
5.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -80, frequency: 5260
6.SSID: eduroam, BSSID: 02:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -91, frequency: 2417
7.SSID: mops, BSSID: 00:17:df:a7:f5:b0, capabilities: [ESS], level: -83, frequency: 2462
8.SSID: eduroam, BSSID: 00:17:df:a7:f5:b2, capabilities: [WPA2-EAP-CCMP][ESS], level: -82, frequency: 2462
9.SSID: mops, BSSID: 00:17:df:a7:f4:9f, capabilities: [ESS], level: -80, frequency: 5260
Time passed (ms): 1363695483351
1.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -91, frequency: 2417
2.SSID: mops, BSSID: 00:0f:a3:1a:11:ce, capabilities: [ESS], level: -90, frequency: 2417
3.SSID: mops, BSSID: 00:17:df:a7:f4:90, capabilities: [ESS], level: -71, frequency: 2437
4.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -73, frequency: 2437
5.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -80, frequency: 5260
6.SSID: eduroam, BSSID: 02:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -91, frequency: 2417
7.SSID: mops, BSSID: 00:17:df:a7:f5:b0, capabilities: [ESS], level: -83, frequency: 2462
8.SSID: eduroam, BSSID: 00:17:df:a7:f5:b2, capabilities: [WPA2-EAP-CCMP][ESS], level: -82, frequency: 2462
9.SSID: mops, BSSID: 00:17:df:a7:f4:9f, capabilities: [ESS], level: -80, frequency: 5260
Time passed (ms): 1363695486745
1.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -67, frequency: 2437
2.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -74, frequency: 5260
3.SSID: mops, BSSID: 00:17:df:a7:f5:b0, capabilities: [ESS], level: -76, frequency: 2462
4.SSID: eduroam, BSSID: 00:17:df:a7:f5:b2, capabilities: [WPA2-EAP-CCMP][ESS], level: -79, frequency: 2462
5.SSID: mops, BSSID: 00:17:df:a7:f4:9f, capabilities: [ESS], level: -73, frequency: 5260
6.SSID: eduroam, BSSID: 00:17:df:a7:f5:bd, capabilities: [WPA2-EAP-CCMP][ESS], level: -85, frequency: 5680
7.SSID: eduroam, BSSID: 00:21:a0:10:22:d2, capabilities: [WPA2-EAP-CCMP][ESS], level: -89, frequency: 2437
8.SSID: mops, BSSID: 00:17:df:a7:f5:bf, capabilities: [ESS], level: -85, frequency: 5680
9.SSID: mops, BSSID: 00:21:a0:10:22:df, capabilities: [ESS], level: -92, frequency: 5560
Time passed (ms): 1363695486750
1.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -67, frequency: 2437
2.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -74, frequency: 5260
3.SSID: mops, BSSID: 00:17:df:a7:f5:b0, capabilities: [ESS], level: -76, frequency: 2462
4.SSID: eduroam, BSSID: 00:17:df:a7:f5:b2, capabilities: [WPA2-EAP-CCMP][ESS], level: -79, frequency: 2462
5.SSID: mops, BSSID: 00:17:df:a7:f4:9f, capabilities: [ESS], level: -73, frequency: 5260
6.SSID: eduroam, BSSID: 00:17:df:a7:f5:bd, capabilities: [WPA2-EAP-CCMP][ESS], level: -85, frequency: 5680
7.SSID: eduroam, BSSID: 00:21:a0:10:22:d2, capabilities: [WPA2-EAP-CCMP][ESS], level: -89, frequency: 2437
8.SSID: mops, BSSID: 00:17:df:a7:f5:bf, capabilities: [ESS], level: -85, frequency: 5680
9.SSID: mops, BSSID: 00:21:a0:10:22:df, capabilities: [ESS], level: -92, frequency: 5560
Time passed (ms): 1363695490217
1.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -68, frequency: 2437
2.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -76, frequency: 5260
3.SSID: mops, BSSID: 00:17:df:a7:f5:b0, capabilities: [ESS], level: -77, frequency: 2462
4.SSID: eduroam, BSSID: 00:17:df:a7:f5:b2, capabilities: [WPA2-EAP-CCMP][ESS], level: -78, frequency: 2462
5.SSID: mops, BSSID: 00:17:df:a7:f4:9f, capabilities: [ESS], level: -75, frequency: 5260
6.SSID: eduroam, BSSID: 00:17:df:a7:f5:bd, capabilities: [WPA2-EAP-CCMP][ESS], level: -87, frequency: 5680
7.SSID: mops, BSSID: 00:17:df:a7:f5:bf, capabilities: [ESS], level: -85, frequency: 5680
8.SSID: mops, BSSID: 00:21:a0:10:22:df, capabilities: [ESS], level: -93, frequency: 5560
9.SSID: eduroam, BSSID: 00:17:df:a7:e5:82, capabilities: [WPA2-EAP-CCMP][ESS], level: -84, frequency: 2412
10.SSID: mops, BSSID: 00:17:df:a7:f4:90, capabilities: [ESS], level: -68, frequency: 2437
11.SSID: mops, BSSID: 00:17:df:a7:e5:80, capabilities: [ESS], level: -84, frequency: 2412
Time passed (ms): 1363695490223
1.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -68, frequency: 2437
2.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -76, frequency: 5260
3.SSID: mops, BSSID: 00:17:df:a7:f5:b0, capabilities: [ESS], level: -77, frequency: 2462
4.SSID: eduroam, BSSID: 00:17:df:a7:f5:b2, capabilities: [WPA2-EAP-CCMP][ESS], level: -78, frequency: 2462
5.SSID: mops, BSSID: 00:17:df:a7:f4:9f, capabilities: [ESS], level: -75, frequency: 5260
6.SSID: eduroam, BSSID: 00:17:df:a7:f5:bd, capabilities: [WPA2-EAP-CCMP][ESS], level: -87, frequency: 5680
7.SSID: mops, BSSID: 00:17:df:a7:f5:bf, capabilities: [ESS], level: -85, frequency: 5680
8.SSID: mops, BSSID: 00:21:a0:10:22:df, capabilities: [ESS], level: -93, frequency: 5560
9.SSID: eduroam, BSSID: 00:17:df:a7:e5:82, capabilities: [WPA2-EAP-CCMP][ESS], level: -84, frequency: 2412
10.SSID: mops, BSSID: 00:17:df:a7:f4:90, capabilities: [ESS], level: -68, frequency: 2437
11.SSID: mops, BSSID: 00:17:df:a7:e5:80, capabilities: [ESS], level: -84, frequency: 2412
Time passed (ms): 1363695493609
1.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -76, frequency: 2437
2.SSID: eduroam, BSSID: 00:17:df:a7:f4:9d, capabilities: [WPA2-EAP-CCMP][ESS], level: -82, frequency: 5260
3.SSID: mops, BSSID: 00:17:df:a7:f5:b0, capabilities: [ESS], level: -77, frequency: 2462
4.SSID: eduroam, BSSID: 00:17:df:a7:f5:b2, capabilities: [WPA2-EAP-CCMP][ESS], level: -80, frequency: 2462
5.SSID: mops, BSSID: 00:17:df:a7:f4:9f, capabilities: [ESS], level: -84, frequency: 5260
6.SSID: eduroam, BSSID: 00:17:df:a7:e5:82, capabilities: [WPA2-EAP-CCMP][ESS], level: -85, frequency: 2412
7.SSID: mops, BSSID: 00:17:df:a7:e5:80, capabilities: [ESS], level: -85, frequency: 2412
8.SSID: eduroam, BSSID: 00:17:df:a7:e8:dd, capabilities: [WPA2-EAP-CCMP][ESS], level: -89, frequency: 5680
9.SSID: eduroam, BSSID: 02:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -93, frequency: 2417
10.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -94, frequency: 2417
11.SSID: mops, BSSID: 00:17:df:a7:e8:df, capabilities: [ESS], level: -92, frequency: 5680
12.SSID: mops, BSSID: 00:0f:a3:1a:11:ce, capabilities: [ESS], level: -94, frequency: 2417
Time passed (ms): 1363695493614
