Time passed (ms): 1363695868619
1.SSID: eduroam, BSSID: 00:17:df:a7:f5:b2, capabilities: [WPA2-EAP-CCMP][ESS], level: -83, frequency: 2462
2.SSID: eduroam, BSSID: 02:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -92, frequency: 2417
3.SSID: eduroam, BSSID: 02:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -88, frequency: 2432
4.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -90, frequency: 2417
5.SSID: mops, BSSID: 00:17:df:a7:f5:b0, capabilities: [ESS], level: -82, frequency: 2462
6.SSID: mops, BSSID: 00:0f:a3:1a:11:ce, capabilities: [ESS], level: -88, frequency: 2417
7.SSID: MINE, BSSID: 64:70:02:4f:9d:de, capabilities: [WPA2-PSK-CCMP][WPS][ESS], level: -92, frequency: 2462
8.SSID: halifax_wlan, BSSID: 00:18:e7:da:a0:be, capabilities: [WPA2-EAP-CCMP][ESS], level: -92, frequency: 2412
9.SSID: halifax_wlan, BSSID: 00:18:e7:d3:27:3b, capabilities: [WPA2-EAP-CCMP][ESS], level: -97, frequency: 2412
Time passed (ms): 1363695868635
1.SSID: eduroam, BSSID: 00:17:df:a7:f5:b2, capabilities: [WPA2-EAP-CCMP][ESS], level: -83, frequency: 2462
2.SSID: eduroam, BSSID: 02:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -92, frequency: 2417
3.SSID: eduroam, BSSID: 02:0f:a3:1a:11:bd, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -88, frequency: 2432
4.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -90, frequency: 2417
5.SSID: mops, BSSID: 00:17:df:a7:f5:b0, capabilities: [ESS], level: -82, frequency: 2462
6.SSID: mops, BSSID: 00:0f:a3:1a:11:ce, capabilities: [ESS], level: -88, frequency: 2417
7.SSID: MINE, BSSID: 64:70:02:4f:9d:de, capabilities: [WPA2-PSK-CCMP][WPS][ESS], level: -92, frequency: 2462
8.SSID: halifax_wlan, BSSID: 00:18:e7:da:a0:be, capabilities: [WPA2-EAP-CCMP][ESS], level: -92, frequency: 2412
9.SSID: halifax_wlan, BSSID: 00:18:e7:d3:27:3b, capabilities: [WPA2-EAP-CCMP][ESS], level: -97, frequency: 2412
Time passed (ms): 1363695872113
1.SSID: eduroam, BSSID: 00:17:df:a7:f5:b2, capabilities: [WPA2-EAP-CCMP][ESS], level: -88, frequency: 2462
2.SSID: eduroam, BSSID: 02:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -84, frequency: 2417
3.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -83, frequency: 2417
4.SSID: mops, BSSID: 00:17:df:a7:f5:b0, capabilities: [ESS], level: -88, frequency: 2462
5.SSID: mops, BSSID: 00:0f:a3:1a:11:ce, capabilities: [ESS], level: -85, frequency: 2417
6.SSID: halifax_wlan, BSSID: 00:18:e7:d3:27:3b, capabilities: [WPA2-EAP-CCMP][ESS], level: -92, frequency: 2412
7.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -84, frequency: 2437
8.SSID: mops, BSSID: 00:17:df:a7:f4:90, capabilities: [ESS], level: -83, frequency: 2437
Time passed (ms): 1363695872127
1.SSID: eduroam, BSSID: 00:17:df:a7:f5:b2, capabilities: [WPA2-EAP-CCMP][ESS], level: -88, frequency: 2462
2.SSID: eduroam, BSSID: 02:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][WPA2-EAP-TKIP+CCMP-preauth][ESS], level: -84, frequency: 2417
3.SSID: eduroam-WPAonly, BSSID: 06:0f:a3:1a:11:ce, capabilities: [WPA-EAP-TKIP+CCMP][ESS], level: -83, frequency: 2417
4.SSID: mops, BSSID: 00:17:df:a7:f5:b0, capabilities: [ESS], level: -88, frequency: 2462
5.SSID: mops, BSSID: 00:0f:a3:1a:11:ce, capabilities: [ESS], level: -85, frequency: 2417
6.SSID: halifax_wlan, BSSID: 00:18:e7:d3:27:3b, capabilities: [WPA2-EAP-CCMP][ESS], level: -92, frequency: 2412
7.SSID: eduroam, BSSID: 00:17:df:a7:f4:92, capabilities: [WPA2-EAP-CCMP][ESS], level: -84, frequency: 2437
8.SSID: mops, BSSID: 00:17:df:a7:f4:90, capabilities: [ESS], level: -83, frequency: 2437
Time passed (ms): 1363695875565
1.SSID: eduroam, BSSID: 00:17:df:a7:f5:b2, capabilities: [WPA2-EAP-CCMP][ESS], level: -84, frequency: 2462
2.SSID: mops, BSSID: 00:17:df:a7:f5:b0, capabilities: [ESS], level: -85, frequency: 2462
Time passed (ms): 1363695875568
1.SSID: eduroam, BSSID: 00:17:df:a7:f5:b2, capabilities: [WPA2-EAP-CCMP][ESS], level: -84, frequency: 2462
2.SSID: mops, BSSID: 00:17:df:a7:f5:b0, capabilities: [ESS], level: -85, frequency: 2462
Time passed (ms): 1363695878988
